id,name,platforms,original_price(£),discounted_price(£),discount(%),product_type,publisher,rel_date,developer,genre
118,Saboteur!,['PS4'],3.69,2.95,-20,FULL_GAME,SimFabric,2020-01-31,Clive Townsend,Action-Adventure
119,Manual Samuel,['PS4'],7.99,0.79,-90,FULL_GAME,Curve Games,2016-10-11,Perfectly ParaNormal,"Adventure, Simulation"
120,Just Die Already,['PS4'],11.49,4.59,-60,FULL_GAME,Curve Games,2021-05-20,Double Moose,Action
121,Memories of Mars,['PS4'],15.99,3.99,-75,FULL_GAME,505 Games,2020-03-12,Limbic Entertainment,"Open World, First Person Shooter, Survival, MMO"
122,The Park,['PS4'],9.99,3.99,-60,FULL_GAME,Funcom,2016-05-03,Funcom,Adventure
124,Seeds of Resilience,['PS4'],11.49,1.14,-90,FULL_GAME,Forever Entertainment,2020-12-18,"Goblinz Studio, Forever Entertainment","Simulation, Management"
125,Candle: The Power of the Flame,['PS4'],15.99,3.19,-80,FULL_GAME,Merge Games,2018-07-24,Teku Studios,"Adventure, Point & Click"
126,Gal*Gun 2,['PS4'],24.99,9.99,-60,FULL_GAME,PQube,2018-04-24,Inti CREATES,"First Person Shooter, On Rails"
127,Gelly Break Deluxe,['PS4'],15.99,6.39,-60,FULL_GAME,ByteRockers Games,2021-08-12,ByteRockers Games,Platformer
128,Grood,['PS4'],3.99,0.79,-80,FULL_GAME,Drageus Games,2020-10-23,CC_ARTS,Shoot 'em up
129,Paradise Lost,['PS4'],11.99,4.79,-60,FULL_GAME,All In! Games,2021-03-24,PolyAmorous,Adventure
130,Candleman,['PS4'],19.99,12.99,-35,FULL_GAME,Zodiac Interactive,2018-08-21,Spotlightor Interactive,Platformer
131,My Universe - Cooking Star Restaurant,['PS4'],34.99,13.99,-60,FULL_GAME,Microids,2020-11-10,Old Skull Games,Simulation
132,Rugby 20,['PS4'],24.99,7.49,-70,FULL_GAME,Nacon,2020-01-23,Eko Software,"Sports, Rugby"
133,Air Hockey,['PS4'],7.99,1.99,-75,FULL_GAME,Sabec,2020-08-20,Sabec,Sports
134,Mega Mall Story,['PS4'],9.99,4.99,-50,FULL_GAME,Kairosoft,2020-05-14,Kairosoft,"Simulation, Management"
135,Lornsword Winter Chronicle,['PS4'],15.99,5.59,-65,FULL_GAME,Tower Five,2019-10-23,Tower Five,"Strategy, Real Time"
136,Metamorphosis,['PS4'],19.99,5.99,-70,FULL_GAME,All In! Games,2020-08-12,Ovid Works,Adventure
137,Drone Striker,['PS4'],7.99,3.99,-50,FULL_GAME,Winking Skywalker Entertainment,2018-10-16,User Joy,"First Person Shooter, On Rails"
138,Kawaii Deathu Desu,['PS4'],2.89,1.44,-50,FULL_GAME,Top Hat Studios,2020-08-17,Pippin Games,Action
139,Bullet Roulette,['PS4'],7.39,2.95,-60,FULL_GAME,Fibrum,2021-01-21,Fibrum,"First Person Shooter, Party"
140,I Expect You To Die,['PS4'],19.99,11.99,-40,FULL_GAME,Schell Games,2016-12-13,Schell Games,Puzzle
141,Vaporum,['PS4'],24.99,7.49,-70,FULL_GAME,Merge Games,2019-04-09,Fatbot Games,"Action-RPG, Role Playing, Dungeon Crawler"
142,Amazing Discoveries In Outer Space,['PS4'],11.49,5.74,-50,FULL_GAME,Cosmic Picnic,2016-02-02,Cosmic Picnic,"Action-Adventure, Platformer"
144,MY HERO ONE'S JUSTICE,['PS4'],54.99,7.69,-86,FULL_GAME,Bandai Namco Entertainment,2018-10-26,BYKING Studios,Fighting
145,How to Survive 2,['PS4'],11.99,2.99,-75,FULL_GAME,505 Games,2017-02-06,Eko Software,"Open World, Survival, Dungeon Crawler"
146,Mosaic,['PS4'],15.99,6.39,-60,FULL_GAME,Raw Fury,2020-02-11,Krillbite Studio,Adventure
147,Stealth Inc 2: A Game of Clones,['PS4'],11.99,1.19,-90,GAME_BUNDLE,Curve Games,2015-04-07,Curve Games,"Puzzle, Platformer"
148,Dadish 2,['PS4'],7.39,5.17,-30,FULL_GAME,Thomas K. Young,2021-09-27,Thomas K. Young,Platformer
149,Midnight Deluxe,['PS4'],3.99,1.19,-70,GAME_BUNDLE,Ratalaika Games,2018-03-06,Petite Games,Platformer
150,Valkyria Chronicles 4,['PS4'],24.99,9.99,-60,FULL_GAME,SEGA,2018-09-25,Media.Vision,"Role Playing, Strategy, Turn Based"
151,Prison Boss VR,['PS4'],15.99,7.99,-50,FULL_GAME,Trebuchet Studio,2018-12-04,Trebuchet Studio,Simulation
152,Devious Dungeon,['PS4'],6.49,1.29,-80,GAME_BUNDLE,Ratalaika Games,2018-04-24,Ravenous Games,"Roguelite, Platformer, Dungeon Crawler"
153,Pankapu,['PS4'],9.49,2.37,-75,FULL_GAME,Plug In Digital,2017-09-19,Too Kind Studio,Platformer
154,Lord Of The Click,['PS4'],3.69,2.58,-30,FULL_GAME,Victory Road,2020-10-23,HugePixel,Action
155,Conan Chop Chop,['PS4'],15.99,7.99,-50,FULL_GAME,Funcom,2022-02-08,Mighty Kingdom,"Roguelite, Action-RPG, Role Playing"
156,Radio Squid,['PS4'],3.99,1.19,-70,FULL_GAME,Ratalaika Games,2020-06-19,Pixelteriyaki,Action
157,Mochi Mochi Boy,['PS4'],3.99,1.19,-70,GAME_BUNDLE,Ratalaika Games,2019-07-16,Pixelteriyaki,Puzzle
158,Peggle 2,['PS4'],9.99,1.99,-80,FULL_GAME,Electronic Arts,2014-10-14,PopCap Games,Puzzle
159,Crypt of the Serpent King,['PS4'],1.69,0.84,-50,FULL_GAME,Rendercode Games,2018-02-27,Rendercode Games,"Action-RPG, Role Playing, Dungeon Crawler"
161,Eagle Island Twist,['PS4'],9.99,4.99,-50,FULL_GAME,Screenwave Media,2021-05-27,Pixelnicks,Platformer
162,Reborn: A Samurai Awakens,['PS4'],11.99,5.99,-50,FULL_GAME,Circle Entertainment,2019-11-06,Geronimo Interactive,Action-Adventure
163,Drawngeon: Dungeons of Ink and Paper,['PS4'],3.99,0.79,-80,FULL_GAME,Drageus Games,2020-11-13,DarkDes Labs,"Role Playing, Turn Based, Dungeon Crawler"
164,Green Hell,['PS4'],19.99,13.99,-30,FULL_GAME,Creepy Jar,2021-06-09,Creepy Jar,Survival
165,Rune Lord,['PS4'],5.79,4.05,-30,FULL_GAME,Victory Road,2020-05-20,"Adept Studios, Alawar Entertainment",Puzzle
166,Golf Zero,['PS4'],3.99,1.39,-65,FULL_GAME,Ratalaika Games,2020-09-08,"Brad Erkkila, Colin Lane",Platformer
167,Thunder Paw,['PS4'],3.99,0.79,-80,GAME_BUNDLE,Ratalaika Games,2020-03-17,SergioPoverony,Platformer
168,Coaster,['PS4'],4.99,2.49,-50,FULL_GAME,Binarie Digital Media,2020-06-22,Binarie Digital Media,Simulation
169,EARTH DEFENSE FORCE: IRON RAIN,['PS4'],49.99,12.49,-75,FULL_GAME,D3Publisher,2019-04-11,Yuke's,Third Person Shooter
170,Paper Dolls,['PS4'],13.99,6.99,-50,FULL_GAME,Winking Skywalker Entertainment,2018-10-30,Beijing Litchi Culture Media,Adventure
171,Iron Snout,['PS4'],3.99,0.79,-80,GAME_BUNDLE,Ratalaika Games,2019-04-16,SnoutUp,Beat 'em up
172,Submerged,['PS4'],14.99,2.99,-80,FULL_GAME,Screen Australia,2015-08-04,Uppercut Games,Adventure
173,Train Station Renovation,['PS4'],11.99,5.99,-50,PREMIUM_EDITION,Ultimate Games,2021-10-01,Live Motion Games,Simulation
174,Farm Frenzy: Refreshed,['PS4'],7.99,5.59,-30,FULL_GAME,ChiliDog Interactive,2021-06-11,"Alawar Entertainment, GameOn Production","Simulation, Management"
175,Trine 4: The Nightmare Prince,['PS4'],24.99,4.99,-80,FULL_GAME,Modus Games,2019-10-08,Frozenbyte,"Puzzle, Platformer"
176,Milo's Quest,['PS4'],3.99,1.19,-70,GAME_BUNDLE,Ratalaika Games,2020-01-28,lightUP,Action-Adventure
177,Attack of the Toy Tanks,['PS4'],3.99,0.79,-80,GAME_BUNDLE,Ratalaika Games,2019-06-25,Petite Games,"Automobile, Vehicular Combat"
178,Quest of Dungeons,['PS4'],7.39,2.43,-67,FULL_GAME,Upfall Studios,2017-01-17,Upfall Studios,"Roguelite, Role Playing, Turn Based, Dungeon Crawler"
179,Zero Zero Zero Zero,['PS4'],3.99,1.19,-70,GAME_BUNDLE,Ratalaika Games,2020-02-04,Alvarop Games,Platformer
180,Moons of Madness,['PS4'],24.99,12.49,-50,FULL_GAME,Funcom,2020-03-24,Rock Pocket Games,Survival Horror
181,Mars Alive,['PS4'],13.99,6.99,-50,FULL_GAME,Winking Entertainment,2019-06-18,Winking Entertainment,Survival
182,Antigraviator,['PS4'],15.99,5.43,-66,FULL_GAME,Iceberg Interactive,2019-10-29,Cybernetic Walrus,Arcade Racing
183,Tin & Kuna,['PS4'],19.99,4.99,-75,FULL_GAME,Aksys Games,2020-09-10,Black River Studios,"Puzzle, Platformer"
